Level,Compression Ratio,Time,Algorithm
1,0.002097080116474803,0.0019948482513427734,gzip
2,0.0020837229182806283,0.0009965896606445312,gzip
3,0.002097080116474803,0.001994609832763672,gzip
4,0.0021505089092511698,0.001994609832763672,gzip
5,0.0022172949002217113,0.001994609832763672,gzip
6,0.0022172949002217113,0.0009975433349609375,gzip
7,0.0022172949002217113,0.0019943714141845703,gzip
8,0.0022172949002217113,0.0030257701873779297,gzip
9,0.0022172949002217113,0.002991914749145508,gzip
0,-0.0008815750808111034,0.01891803741455078,lzma
1,-0.0008815750808111034,0.022936582565307617,lzma
2,-0.0008815750808111034,0.023937225341796875,lzma
3,-0.0008815750808111034,0.027924060821533203,lzma
4,-0.0008815750808111034,0.02693033218383789,lzma
5,-0.0008815750808111034,0.03390836715698242,lzma
6,-0.0008815750808111034,0.034905433654785156,lzma
7,-0.0008815750808111034,0.04292416572570801,lzma
8,-0.0008815750808111034,0.0677802562713623,lzma
1,-0.002511153260492005,0.008008718490600586,bz2
2,-0.002511153260492005,0.00797414779663086,bz2
3,-0.002511153260492005,0.007955074310302734,bz2
4,-0.002511153260492005,0.007978439331054688,bz2
5,-0.002511153260492005,0.006981611251831055,bz2
6,-0.002511153260492005,0.00797891616821289,bz2
7,-0.002511153260492005,0.007978200912475586,bz2
8,-0.002511153260492005,0.00797891616821289,bz2
9,-0.002511153260492005,0.008008718490600586,bz2
0,-6.678599097043048e-05,0.0,brotli
1,-6.678599097043048e-05,0.0,brotli
2,0.0020570085218925005,0.0009665489196777344,brotli
3,0.0023241524857745555,0.0009970664978027344,brotli
4,-6.678599097043048e-05,0.0,brotli
5,-6.678599097043048e-05,0.0009963512420654297,brotli
6,-6.678599097043048e-05,0.002034425735473633,brotli
7,-6.678599097043048e-05,0.003951311111450195,brotli
8,-6.678599097043048e-05,0.007976531982421875,brotli
9,-6.678599097043048e-05,0.012965679168701172,brotli
10,-6.678599097043048e-05,0.012965202331542969,brotli
11,-6.678599097043048e-05,0.04588007926940918,brotli
0,-0.00021371517110568838,0.0,zlib
1,0.002257366494804014,0.0019922256469726562,zlib
2,0.00224400929660995,0.0019943714141845703,zlib
3,0.002257366494804014,0.0009975433349609375,zlib
4,0.0023107952875804916,0.0019948482513427734,zlib
5,0.002377581278551033,0.001994609832763672,zlib
6,0.002377581278551033,0.001994609832763672,zlib
7,0.002377581278551033,0.0010008811950683594,zlib
8,0.002377581278551033,0.0019927024841308594,zlib
9,0.002377581278551033,0.001995086669921875,zlib
